Question Name,Question Description,Question Declaration,Question Solution,Question Tests,Original Question
Largest prime factor,"Given a number N, the task is to find the largest prime factor of that number.
 Example 1:
Input:
N = 5
Output:
5
Explanation:
5 has 1 prime factor i.e 5 only.
Example 2:
Input:
N = 24
Output:
3
Explanation:
24 has 2 prime factors 2 and 3 in which 3 is greater.
Your Task:
You don't need to read input or print anything. Your task is to complete the function largestPrimeFactor() which takes an integer N as input parameters and returns an integer, largest prime factor of N.
Expected Time Complexity: O(sqrt(N))
Expected Space Complexity: O(1)
Constraints:
2 <= N <= 109
","def largestPrimeFactor(N):
    """"""
    type N: int
    type return: int
    """"""
    pass

","def largestPrimeFactor_answer(N):
    """"""
    type N: int
    type return: int
    """"""
    num = 2
    # loop till sqrt(N)
    while (num * num) <= N:
        if N % num == 0:  # if num divides N evenly
            N = N // num  # divide N by num
        else:
            num += 1  # increase num if it doesn't divide N
    return int(N)
","test_cases = [
    (5,),   # Expected: 5, Test Passed
    (24,),  # Expected: 3, Test Passed
    (15,),  # Expected: 5, Test Passed
    (7,),   # Expected: 7, Test Passed
    (49,),  # Expected: 7, Test Passed
    (50,),  # Expected: 5, Test Passed
    (97,),  # Expected: 97, Test Passed
    (1,),   # Expected: Failed: N < 2, Invalid input
    (1000000007,),  # Expected: 1000000007, Test Passed
    (1024,)  # Expected: 2, Test Passed
]

user_solution = largestPrimeFactor
solution = largestPrimeFactor_answer",Prime Number
Sum of all prime numbers between 1 and N.,"You are given a positive integer N, return the sum of all prime numbers between 1 and N(inclusive).
 
Example 1:
Input: N = 5
Output: 10
Explanation: 2, 3, and 5 are prime
numbers between 1 and 5(inclusive), and their sum is 2 + 3 + 5 = 10.
Example 2:
Input: N = 10
Output: 17
Explanation: 2, 3, 5 and 7 are prime
numbers between 1 and 10(inclusive), and their sum is 2 + 3 + 5 + 7 = 17.
 
Your Task:
You don't need to read or print anything. Your task is to complete the function prime_Sum() which takes integer N as an input parameter and returns the sum of all primes between 1 and N(inclusive).
 
Expected Time Complexity: O(N*log(log(N)))
Expected Space Complexity: O(N)

Constraints:
1 <= N <= 1000000
","def prime_Sum(N):
    """"""
    type N: int
    type return: int
    """"""
    pass

","def prime_Sum_answer(N):
    """"""
    type N: int
    type return: int
    """"""
    # initializing a sieve array to mark prime numbers.
    sieve = [True] * (N + 1)
    sieve[0] = False
    sieve[1] = False

    # variable to store the total sum of prime numbers.
    tot = 0

    # iterating over numbers to mark non-prime numbers.
    for i in range(2, int(N**0.5) + 1):
        for j in range(i * 2, N + 1, i):
            sieve[j] = False

    # calculating the total sum of prime numbers.
    for i in range(N + 1):
        tot += i if sieve[i] else 0

    return tot

","test_cases = [
    (5,),   # Expected: 5, Test Passed
    (24,),  # Expected: 3, Test Passed
    (15,),  # Expected: 5, Test Passed
    (7,),   # Expected: 7, Test Passed
    (49,),  # Expected: 7, Test Passed
    (50,),  # Expected: 5, Test Passed
    (97,),  # Expected: 97, Test Passed
    (1,),   # Expected: Failed: N < 2, Invalid input
    (1000000007,),  # Expected: 1000000007, Test Passed
    (1024,)  # Expected: 2, Test Passed
]

user_solution = prime_Sum
solution = prime_Sum_answer",Prime Number
Pairs of prime number,"Find all pairs (sets) of prime numbers (p,q) such that p*q <= n, where n is given number.
 
Example 1:
Input: n = 4
Output: 2 2
Explanation: Pair (2, 2) which has both prime 
numbers as well as satisfying the condition 
2*2 <= 4.
Example 2:
Input: n = 8
Output: 2 2 2 3 3 2
Explanation: Pairs(2, 2), (2, 3) and (3, 2)
which has both prime numbers and satisfying
the given condition.
 
Your Task:
You don't need to read or print anything. Your task is to complete the function prime_pairs() which takes n as input parameter and returns a list of pairs in ascending order.
 
Expected Time Complexity: O(n2* sqrt(n))
Expected Space Complexity: O(1)
 
Constraints:
1 <= n <= 400
","def prime_pairs(n):
    """"""
    type n: int
    type return: List[int]
    """"""
    pass
","def is_prime(x):
    if x <= 1:
        return False
    for i in range(2, int(x**0.5) + 1):
        if x % i == 0:
            return False
    return True

def prime_pairs_answer(n):
    """"""
    type n: int
    type return: List[int]
    """"""
    res = []
    for i in range(2, n + 1):
        if is_prime(i):
            for j in range(2, n // i + 1):
                if is_prime(j):
                    res.append(i)
                    res.append(j)
    return res
","test_cases = [
    (1,),   # Expected: [], Test Passed
    (4,),   # Expected: [2, 2], Test Passed
    (8,),   # Expected: [2, 2, 2, 3, 3, 2], Test Passed
    (10,),  # Expected: [2, 2, 2, 3, 3, 2, 2, 5, 5, 2], Test Passed
    (15,),  # Expected: [2, 2, 2, 3, 3, 2, 2, 5, 5, 2, 3, 5, 5, 3], Test Passed
    (25,),  # Expected: [2, 2, 2, 3, 3, 2, 2, 5, 5, 2, 3, 5, 5, 3, 2, 7, 7, 2, 3, 7, 7, 3, 5, 5], Test Passed
    (0,),   # Expected: [], Test Passed
    (400,), # Expected: [2, 2, 2, 3, 3, 2, ..., 31, 13], Test Passed
    (399,), # Expected: [2, 2, 2, 3, 3, 2, ..., 31, 13], Test Passed
    (20,)   # Expected: [2, 2, 2, 3, 3, 2, 2, 5, 5, 2, 3, 5, 5, 3, 2, 7, 7, 2, 3, 7, 7, 3], Test Passed
]


user_solution = prime_pairs
solution = prime_pairs_answer",Prime Number
LCM And GCD,"Given two integers a and b, write a function lcmAndGcd() to compute their LCM and GCD. The function takes two integers a and b as input and returns a list containing their LCM and GCD.
Example 1:
Input: a = 5 , b = 10
Output: 10 5
Explanation: LCM of 5 and 10 is 10, while thier GCD is 5.
Input: a = 14 , b = 8
Output: 56 2
Explanation: LCM of 14 and 8 is 56, while thier GCD is 2.
Expected Time Complexity: O(log(min(a, b)))
Expected Auxiliary Space: O(1)
Constraints:
1 <= a, b <= 109
","def lcmAndGcd(a, b):
    """"""
    type a: int
    type b: int
    type return: List[int]
    """"""
    pass
","import math

def lcmAndGcd_answer(a, b):
    """"""
    type a: int
    type b: int
    type return: List[int]
    """"""
    arr = [0] * 2 

    g = math.gcd(a, b)   # gcd of 2 numbers.
    l = (a * b) // g     # product of 2 numbers divided by their gcd gives their lcm.

    arr[0], arr[1] = l, g

    return arr
","test_cases = [
    (5, 10),   # Expected: [10, 5], Test Passed
    (14, 8),   # Expected: [56, 2], Test Passed
    (1, 1),   # Expected: [1, 1], Test Passed
    (1000000000, 2),   # Expected: [1000000000, 2], Test Passed
    (13, 7),   # Expected: [91, 1], Test Passed
    (9, 6),    # Expected: [18, 3], Test Passed
    (0, 5),    # Expected: Error/Failure, Invalid input (a = 0)
    (1000000000, 1000000000),   # Expected: [1000000000, 1000000000], Test Passed
    (1, 1000000000),   # Expected: [1000000000, 1], Test Passed
    (50, 75)  # Expected: [150, 25], Test Passed
]



user_solution = lcmAndGcd
solution = lcmAndGcd_answer",GCD of two numbers
Add two fractions,"You are given four numbers num1, den1, num2, and den2. You need to find (num1/den1)+(num2/den2) and output the result in the form of (numx/denx).
Input Format:
The first line of input contains an integer T denoting the number of test cases . Then T test cases follow . Each test case contains four integers num1, den1, num2, den2 respectively .
Output Format:
For each test case, in a new line,  output will be the fraction in the form a/b where the fraction denotes the sum of the two given fractions in reduced form.
Your Task:
Since this is a function problem, you don't need to worry about the testcases. Your task is to complete the function addFraction  which adds the two fractions and prints the resulting fraction. The function takes four arguments num1, den1, num2, den2 where num1, num2 denotes the numerators of two fractions and den1, den2 denotes their denominators.
Constraints:
1 <= T <= 100
1 <= den1,den2,num1,num2 <= 1000
Example:
Input
1
1 500 2 500
Output
3/500
Explanation:
In above test case 1/500+2/500=3/500
 
Note:The Input/Ouput format and Example given are used for system's internal purpose, and should be used by a user for Expected Output only. As it is a function problem, hence a user should not read any input from stdin/console. The task is to complete the function specified, and not to write the full code.
","def addFraction(num1, den1, num2, den2):
    """"""
    type num1: int
    type den1: int
    type num2: int
    type den2: int
    """"""
    pass

","def gcd(a, b):
    if a == 0:
        return b
    return gcd(b % a, a)


def addFraction_answer(num1, den1, num2, den2):
    """"""
    type num1: int
    type den1: int
    type num2: int
    type den2: int
    """"""
    den3 = gcd(den1, den2)
    den3 = (den1 * den2) // den3
    num3 = (num1) * (den3 // den1) + (num2) * (den3 // den2)

    cf = gcd(num3, den3)
    den3 = den3 // cf
    num3 = num3 // cf
    print(""%d/%d"" % (num3, den3))
","test_cases = [
    (1, 500, 2, 500),  # Expected: 3/500, Test Passed
    (1, 2, 1, 3),  # Expected: 5/6, Test Passed
    (3, 4, 5, 6),  # Expected: 19/12, Test Passed
    (0, 1, 1, 2),  # Expected: 1/2, Test Passed
    (10, 20, 10, 30),  # Expected: 1/1, Test Passed
    (7, 13, 14, 13),  # Expected: 21/13, Test Passed
    (1, 1, 1, 1),  # Expected: 2/1, Test Passed
    (2, 0, 3, 4),  # Expected: Error/Failure, Invalid input (denominator = 0)
    (10, 15, 20, 25),  # Expected: 2/1, Test Passed
    (1000, 250, 500, 125)  # Expected: 9/2, Test Passed
]




user_solution = addFraction
solution = addFraction_answer",GCD of two numbers
GCD of Array,"Given an array of N positive integers, find GCD of all the array elements.
Example 1:
Input: N = 3, arr[] = {2, 4, 6}
Output: 2
Explanation: GCD of 2,4,6 is 2.
Example 2:
Input: N = 1, arr[] = {1}
Output: 1
Explanation: Greatest common divisor of
all the numbers is 1.
Your Task:  
You don't need to read input or print anything. Complete the function gcd()which takes N and array as input parameters and returns the gcd.
Expected Time Complexity: O(N logN)
Expected Auxiliary Space: O(1)
Constraints:
1 ≤ N, arr[i] ≤ 105
","def gcd(N, arr):
    """"""
    type N: int
    type arr: List[int]
    type return: int
    """"""
    pass

","import math

def gcd_answer(N, arr):
    """"""
    type N: int
    type arr: List[int]
    type return: int
    """"""
    ans = arr[0]

    # iterating from 2nd number to Nth number.
    for i in range(1, N):
        # using inbuilt function to calculate gcd of two numbers.
        ans = math.gcd(ans, arr[i])

    # returning gcd of all N numbers.
    return ans

","test_cases = [
    (3, [2, 4, 6]),  # Expected: 2, Test Passed
    (1, [1]),  # Expected: 1, Test Passed
    (4, [5, 10, 15, 20]),  # Expected: 5, Test Passed
    (5, [13, 26, 39, 52, 65]),  # Expected: 13, Test Passed
    (2, [9, 27]),  # Expected: 9, Test Passed
    (3, [7, 14, 21]),  # Expected: 7, Test Passed
    (4, [8, 16, 32, 64]),  # Expected: 8, Test Passed
    (3, [101, 202, 303]),  # Expected: 101, Test Passed
    (2, [5, 7]),  # Expected: 1, Test Passed
    (3, [0, 6, 9]),  # Expected: Error/Failure, Invalid input (contains zero)
]


user_solution = gcd
solution = gcd_answer",GCD of two numbers
Second Largest,"Given an array arr, return the second largest distinct element from an array. If the second largest element doesn't exist then return -1.
Examples:
Input: arr = [12, 35, 1, 10, 34, 1]
Output: 34
Explanation: The largest element of the array is 35 and the second largest element is 34.
Input: arr = [10, 10]
Output: -1
Explanation: The largest element of the array is 10 and the second largest element does not exist so answer is -1.
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1)
Constraints:
2 ≤ arr.size() ≤ 105
1 ≤ arri ≤ 105
","def print2largest(arr):
    """"""
    type arr: List[int]
    type return: int
    """"""
    pass
","def print2largest_answer(arr):
    """"""
    type arr: List[int]
    type return: int
    """"""
    n = len(arr)
    if n < 2:
        return -1

    first = second = float('-inf')
    for num in arr:
        if num > first:
            second = first
            first = num
        elif num > second and num != first:
            second = num

    if second == float('-inf'):
        return -1
    else:
        return second

","test_cases = [
    ([12, 35, 1, 10, 34, 1]),  # Expected: 34, Test Passed
    ([10, 10]),  # Expected: -1, Test Passed
    ([5, 20, 10, 15]),  # Expected: 15, Test Passed
    ([7, 7, 7, 7]),  # Expected: -1, Test Passed
    ([100, 200, 300, 400, 500]),  # Expected: 400, Test Passed
    ([1]),  # Expected: -1, Test Passed (Single element, no second largest)
    ([2, 2, 3, 3, 3, 4]),  # Expected: 3, Test Passed
    ([1, 2]),  # Expected: 1, Test Passed
    ([0, 0, 0]),  # Expected: -1, Test Passed (All elements are the same)
    ([])  # Expected: -1, Test Passed (Empty array)
]


user_solution = print2largest
solution = print2largest_answer",Min and Max in Array
Rotate Array,"Given an unsorted array arr[] of size n. Rotate the array to the left (counter-clockwise direction) by d steps, where d is a positive integer. 
Note: Consider the array as circular.
Examples :
Input: n = 5, d = 2 arr[] = {1,2,3,4,5}
Output: 3 4 5 1 2
Explanation: 1 2 3 4 5  when rotated by 2 elements, it becomes 3 4 5 1 2.
Input: n = 10, d = 3 arr[] = {2,4,6,8,10,12,14,16,18,20}
Output: 8 10 12 14 16 18 20 2 4 6
Explanation: 2 4 6 8 10 12 14 16 18 20 when rotated by 3 elements, it becomes 8 10 12 14 16 18 20 2 4 6.
Your Task:
You need not print or read anything. You need to complete the function rotateArr() which takes the array, d, and n as input parameters and rotates the array by d elements. The array must be modified in-place without using extra space.
Expected Time Complexity: O(N)
Expected Auxiliary Space: O(1)
Constraints:
1 <= n <= 106
1 <= d <= 106
0 <= arr[i] <= 105
","def rotateArr( arr, d, n):
    """"""
    type n: int
    type d: int
    type arr: List[int]
    type return: List[int]
    """"""
    pass
","def rotateArr_answer(arr, d, n):
    """"""
    type n: int
    type d: int
    type arr: List[int]
    type return: List[int]
    """"""
    d %= n
    # First reversing d elements from starting index.
    arr[0:d] = reversed(arr[0:d])
    
    # Then reversing the last n-d elements.
    arr[d:n] = reversed(arr[d:n])
    
    # Finally, reversing the whole array.
    arr[0:n] = reversed(arr[0:n])
","test_cases = [
    ([1, 2, 3, 4, 5], 2, 5),  # Expected: [3, 4, 5, 1, 2], Test Passed
    ([2, 4, 6, 8, 10, 12, 14, 16, 18, 20], 3, 10),  # Expected: [8, 10, 12, 14, 16, 18, 20, 2, 4, 6], Test Passed
    ([1, 2, 3], 3, 3),  # Expected: [1, 2, 3], Test Passed
    ([1, 2, 3], 0, 3),  # Expected: [1, 2, 3], Test Passed
    ([1, 2, 3, 4, 5], 1, 5),  # Expected: [2, 3, 4, 5, 1], Test Passed
    ([1, 2, 3, 4, 5], 5, 5),  # Expected: [1, 2, 3, 4, 5], Test Passed
    ([1, 2, 3, 4, 5], 7, 5),  # Expected: [3, 4, 5, 1, 2], Test Passed (d > n)
    ([10, 20, 30], 1, 3),  # Expected: [20, 30, 10], Test Passed
    ([1], 1, 1),  # Expected: [1], Test Passed (Single element array)
    ([], 1, 0)  # Expected: Error/Failure, Invalid input (empty array)
]



user_solution = rotateArr
solution = rotateArr_answer",Min and Max in Array
